title,address,totalScore,reviewsCount,additionalInfo
WISATA SUMBER TAKIR,"Dusun Krajan Barat, Jokarto, Kec. Tempeh, Kabupaten Lumajang, Jawa Timur 67371, Indonesia",4.5,31,"{'Opsi layanan': [{'Layanan di tempat': True}], 'Aksesibilitas': [{'Audio broadcast Auracast': True}, {'Kursi khusus pengguna kursi roda': True}, {'Pintu masuk khusus pengguna kursi roda': True}, {'Tempat parkir khusus pengguna kursi roda': True}, {'Toilet khusus pengguna kursi roda': True}, {'Dukungan instalasi bantu dengar': False}], 'Fasilitas': [{'Toilet': True}, {'Toilet netral gender': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Diskon untuk anak-anak': True}], 'Parkir': [{'Gedung parkir berbayar': True}, {'Parkir di jalan berbayar': True}, {'Tempat parkir berbayar': True}, {'Tempat parkir di lokasi': True}]}"
Bendungan Karangkates,"RCVX+794, Waduk, Karangkates, Kec. Sumberpucung, Kabupaten Malang, Jawa Timur 65165, Indonesia",4.5,1607,"{'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}]}"
Coban Nirwana,"Krajan Lor Gedangan, Gedangan, Kabupaten Malang, Jawa Timur 65178, Indonesia",4.2,391,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Anak-anak': [{'Cocok untuk anak-anak': True}]}"
Pantai Molang,"M2QH+557, Area Perkebunan Dan P, Pucanglaban, Kec. Pucanglaban, Kabupaten Tulungagung, Jawa Timur, Indonesia",4.4,957,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}]}"
Air Terjun Alam Kandung,"R3JG+693, Area Sawah, Tanen, Kec. Rejotangan, Kabupaten Tulungagung, Jawa Timur 66293, Indonesia",4.2,965,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}]}"
Taman Kenongo,"Jl. Melati, RT.015/RW.004, Precet, Kenongo, Kec. Jabung, Kabupaten Malang, Jawa Timur 65155, Indonesia",4.5,549,"{'Aksesibilitas': [{'Toilet khusus pengguna kursi roda': True}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}, {'Toilet netral gender': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Cocok untuk ulang tahun anak': True}]}"
Wisata Maribaya,"5M93+RWJ, Jl. Maribaya, Cibodas, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",4.6,101,"{'Fasilitas': [{'Toilet': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}]}"
Blitar Green Park,"Bendogerit, Kec. Sananwetan, Kota Blitar, Jawa Timur 66133, Indonesia",4.3,1194,"{'Fasilitas': [{'Toilet': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Cocok untuk ulang tahun anak': True}]}"
Stone Garden Citatah,"Gunung Masigit, Citatah, Kec. Cipatat, Kabupaten Bandung Barat, Jawa Barat 40554, Indonesia",4.5,4066,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}], 'Parkir': [{'Tempat parkir berbayar': True}]}"
Wisata Alam Lembah Gunung Sari Desa Kucur,"Jl. Raya Klampok Kucur, Turi, Kucur, Kec. Dau, Kabupaten Malang, Jawa Timur 65151, Indonesia",4.5,438,"{'Aksesibilitas': [{'Toilet khusus pengguna kursi roda': True}, {'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Cocok untuk ulang tahun anak': True}], 'Parkir': [{'Tempat parkir berbayar': True}]}"
